Experiment HNOB NOOB NUOB OB OOB UOB
Borderline100 0.9403612734129827 0.9239525705794304 0.9412499221233485 0.9406566368964232 0.9399738957821652 0.9383632330920527
Borderline100-post-drift 0.9253572389801324 0.9253643982571069 0.9233340354336912 0.9288085991567019 0.9272476422953868 0.9258164119007856
Borderline20 0.958802759541571 0.9388310734474024 0.9590023289714981 0.9569812621046213 0.9567912357802986 0.9562400506477998
Borderline20+Rare20 0.8420468810358723 0.8168270336917977 0.8420270338644111 0.8387590301237478 0.8379193008957018 0.837178245068221
Borderline20+Rare20-post-drift 0.7477217563769344 0.741168825557601 0.748336423356843 0.7492777793079375 0.7498077089078246 0.7485646292777087
Borderline20-post-drift 0.9413910664413656 0.9333598330910706 0.9423062295034427 0.9436232952700908 0.9430440489013381 0.941233019225557
Borderline40 0.9519805797018134 0.9310479389142182 0.9522719134972795 0.9497536452371154 0.9495645662931175 0.948631767327901
Borderline40+Rare40 0.7084528408009635 0.686099749355543 0.7083805367509767 0.7047488945415675 0.7032726343008039 0.703146912723727
Borderline40+Rare40-post-drift 0.5373877138359318 0.5337391938875795 0.5359192264480166 0.5393135733465317 0.5406595516834671 0.5376638479863675
Borderline40-post-drift 0.9371015105252966 0.9360033105253673 0.9366221726825814 0.9376000623189782 0.9391611409549835 0.937089304880196
Borderline60 0.94756769022724 0.9278718604614821 0.9481387111967787 0.9460982844141858 0.9457157508445703 0.9440578329146554
Borderline60-post-drift 0.9342562260106411 0.9338720571150921 0.9342758412997462 0.9347332332841779 0.9355048367767174 0.9334235409127822
Borderline80 0.943922654177414 0.9253196988504335 0.9445662433644909 0.943031090460508 0.9426017590055733 0.9411993875911149
Borderline80-post-drift 0.928748536874898 0.9294471002394744 0.9271060935786949 0.9305680914118453 0.9297467840254238 0.9294070583377304
Im1 0.8884764264327152 0.9001462157178568 0.8235397689472326 0.8962782267634312 0.8891996336600139 0.854855421162901
Im1+Borderline100 0.5861120413607158 0.5900749806742952 0.5812443076335518 0.65099917746419 0.6220561622975544 0.5919524237249866
Im1+Borderline100-post-drift 0.15220628462859018 0.22505897427244073 0.14160665437200476 0.00139956199564294 0.3319430081488764 0.14178568174003833
Im1+Borderline20 0.7209479040794328 0.734247680254694 0.7051463267262137 0.8759953084607106 0.8291718846707206 0.7704634037618427
Im1+Borderline20+Rare20 0.7128299096531273 0.7263062063732814 0.6761484488860813 0.8130477406615109 0.7734323026128388 0.739050120607572
