Experiment HNOB NOOB NUOB OB OOB UOB
Borderline100 0.8800750278242228 0.8264461717966901 0.9013921453509961 0.8834539563291544 0.8842186960302117 0.8811705804096115
Borderline100-post-drift 0.8321175239801374 0.7938038797306513 0.8882594745316484 0.8719710207898663 0.8714980984487916 0.8646302273703397
Borderline20 0.9368665401197331 0.9121665728983693 0.939026733248323 0.932758088930083 0.9327728392900905 0.9321773344068671
Borderline20+Rare20 0.7863973209192988 0.7125967966696247 0.7877910120365741 0.7626624537736885 0.7629973476044997 0.7616654998743168
Borderline20+Rare20-post-drift 0.6305760250734085 0.5251209672502799 0.6487633049729123 0.6079431255480744 0.6085080989207104 0.6041072816552916
Borderline20-post-drift 0.91068370676967 0.8834706621058737 0.9174580709687619 0.9103875645609183 0.9107462640954673 0.9081750214119431
Borderline40 0.9167229369171843 0.880955146730335 0.9225754151173703 0.9118539625306383 0.9123511750982698 0.9111181662329613
Borderline40+Rare40 0.6198397879904364 0.5445944135014623 0.6250654397048045 0.5981196816861275 0.5983927802755028 0.5978995466138511
Borderline40+Rare40-post-drift 0.38261509205646815 0.2932084383531455 0.4040932533196171 0.3656664295500894 0.3676345509363268 0.36522882486761676
Borderline40-post-drift 0.8803792389160883 0.8552552858176312 0.9052952821757931 0.8914087977310132 0.893269059081112 0.8892762437471888
Borderline60 0.9054618040616798 0.8575361813938638 0.9133277196624381 0.8997842518645943 0.9001479459194057 0.8979682577799951
Borderline60-post-drift 0.8700108814467805 0.8353134392172161 0.9031906431065296 0.8856796939522422 0.8861392972416668 0.8825632275698974
Borderline80 0.8913954092767298 0.8426102024832506 0.905354095687454 0.8901409767536441 0.8913138703516218 0.8882183594501959
Borderline80-post-drift 0.8444121900370375 0.8152086664915882 0.8946315156350271 0.8765823756595467 0.8766812098800585 0.8745181708493719
Im1 0.9613806130312332 0.9549640000535536 0.9765533915116849 0.9694767910220432 0.9716213780286113 0.9744922630573136
Im1+Borderline100 0.8496758666081742 0.7739055264526838 0.8813866583188096 0.7406424029930062 0.8023192226964951 0.8534983239975967
Im1+Borderline100-post-drift 0.7472072719911317 0.5331610776493511 0.7716220348631987 0.11161387705418019 0.5086398074372172 0.772026809651663
Im1+Borderline20 0.9132238947508047 0.900208661265806 0.92849278023255 0.8955622140667299 0.9067018265074823 0.9192074557203118
Im1+Borderline20+Rare20 0.7902186796829187 0.7840287088935581 0.7973882661784666 0.7982390589630277 0.8094150365046001 0.7874911753967211
Im1+Borderline20+Rare20-post-drif 0.6326447497615054 0.5991861369247714 0.6471945942210624 0.449527917757303 0.6042663087908564 0.6455139544491882
Im1+Borderline20-post-drift 0.8410385628803698 0.7606746972778566 0.877423460153778 0.5993739972629587 0.7727385878984766 0.8784513866973138
Im1+Borderline40 0.8899750734528721 0.8629300597960516 0.9071697865623456 0.838919114995671 0.8674869035822127 0.8890581745886993
Im1+Borderline40+Rare40 0.6240250955384932 0.6237617720575321 0.6140150116031766 0.6032448647388055 0.6356886873065541 0.5984847813483483
Im1+Borderline40+Rare40-post-drif 0.3596937032355546 0.36418922924404823 0.33544460734252096 0.1076099068378822 0.31356392154334733 0.3310659611321347
Im1+Borderline40-post-drift 0.8244275304554997 0.7047060812131747 0.8545782340861032 0.46136239006595176 0.6833401799835873 0.8529593090812437
Im1+Borderline60 0.8639211034380381 0.8256165396455983 0.8853585662172536 0.7788737361587745 0.8323591374650554 0.861250254437568
Im1+Borderline60-post-drift 0.7981720767989247 0.6290594251810839 0.8341017476874764 0.2935117130737073 0.5775747441022863 0.833701855158961
Im1+Borderline80 0.8519803558281747 0.792871242638617 0.8783350001100476 0.7391271327800362 0.8063614882733734 0.8468538062434167
Im1+Borderline80-post-drift 0.7713203625102883 0.5818002686535763 0.8026876557962059 0.1577708249960026 0.5394420058456394 0.8034130347156561
Im1+Rare100 0.4925967183696687 0.5048104540425978 0.39678871079181444 0.3725050369278095 0.40159041145090063 0.3933124814890575
Im1+Rare100-post-drift 0.2672648740542573 0.2981054179663922 0.04446587937188763 0.03373421235068645 0.0941901985401451 0.04079606293376423
