Experiment HNOB NOLOB NOOB NOOBExtendsOOB NOOBWithWindow1000 NULOB NUOB NUOBExtendsUOB NUOBExtendsUOBWithPsiCoeff NUOOB OB OOB UOB
Borderline100 0.9698139544989217 0.9631774652103435 0.959866947801933 0.9615161815695619 0.9590098496549194 0.9702210675801601 0.9701391013008093 0.9694167428188453 0.9694631012879472 0.9619236331180554 0.9695886823045023 0.9692707994587824 0.9684927851671731
Borderline100-post-drift 0.9623358899410281 0.9632792404903529 0.9624607187101681 0.9628624801538532 0.9629439069909216 0.962066742457543 0.9610287130283252 0.9612942375034609 0.9607823952583163 0.9626823158205111 0.9639711875159976 0.9631626651964703 0.9624557490449629
Borderline20 0.9794149710331606 0.9726758312293944 0.9690278162202337 0.9716610149373248 0.9704008320234514 0.9798706263451884 0.9795010639330656 0.9796073263035429 0.9793732939069041 0.9706688296310432 0.9784526519065347 0.9783586420905971 0.9780930869058543
Borderline20+Rare20 0.9181291760709205 0.9071582005989343 0.9020297872366525 0.9055416974611594 0.9018023739268886 0.9184904945493285 0.9181183412359227 0.9177268657152053 0.9176380481982755 0.9046082045520464 0.9157694507912464 0.915294781234682 0.9149311497760075
Borderline20+Rare20-post-drift 0.8697966400131864 0.8680573632442321 0.8650073667075513 0.8673560576827423 0.8639581598323166 0.871611495022243 0.8702967198143053 0.8715940985525843 0.8708344464865262 0.865198262358961 0.8706049474800287 0.870923887370354 0.8702215156677617
Borderline20-post-drift 0.9706231767419935 0.969211877781835 0.9666507914674014 0.968265749724215 0.9678279969283738 0.9712981239759886 0.9710512569250436 0.9707452698138807 0.9706262018732678 0.9682323365381765 0.9717612136348558 0.9714691296482535 0.970551413317545
Borderline40 0.975937454810903 0.9684480539163299 0.9650282099152132 0.9665836024645487 0.9649639649330644 0.9761666582290259 0.9760605342327389 0.9758939410094267 0.9756563732340896 0.9666509384378124 0.9747679734622606 0.9746791413093004 0.9742225557151138
Borderline40+Rare40 0.8411785933104058 0.8261399896386074 0.8230400327899757 0.8247143754526847 0.8209387132570111 0.8419682869796368 0.8412976849558921 0.8399858165473801 0.8407421433284813 0.8256606749614663 0.8377368319697911 0.8367041465782386 0.8369819180321929
Borderline40+Rare40-post-drift 0.7512346696273653 0.7505683390291297 0.7447992368903534 0.7510327727513946 0.7421138633731381 0.7510880618855473 0.7509764976495166 0.750459738680583 0.7500217900725719 0.7458624480950958 0.7516248152020207 0.7518985019348752 0.7509025738519155
Borderline40-post-drift 0.9684795039486042 0.9677523590551399 0.9679661068208852 0.9674279310495981 0.968204002759803 0.9681327253040952 0.9681087900820115 0.9681581043542132 0.9679294210806298 0.9677261293445919 0.9686769418923694 0.9694404062770601 0.9684129693226972
