learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
116000.0,11.953125,4.023375901548812E-6,116000.0,0.9840477447639162,0.868408337199185,0.964,0.928016124388137,0.9800449319413241,0.9920318725099602,0.9636570230936577,0.9939759036144579,0.9258772786169438,116000.0,1942656.0,15.0,0.6456025635516157,0.35439743644838434,84952.46666666667,316.2322534075804,100629.86666666665,7873.39213396857,69.40000000000002,5.4615539389967935,35.20000000000001,2.7307769694983968,35.20000000000001,2.7307769694983968,13.133333333333333,0.990430401872025,0.0,0.0,0.0,0.0,1.0,0.0
117000.0,12.109375,4.1018618180209554E-6,117000.0,0.9790996655946496,0.8707314592473239,0.96,0.9200166365395996,0.9840477447639162,0.9920318725099602,0.9597076308021031,0.9879518072289156,0.9176476798817504,117000.0,1941664.0,15.0,0.635512099135443,0.364487900864557,85656.8,312.02225195374257,100563.73333333332,7522.1333549415285,69.66666666666667,5.58910504804617,35.333333333333336,2.794552524023085,35.333333333333336,2.794552524023085,13.133333333333333,0.990430401872025,0.0,0.0,0.0,0.0,1.0,0.0
118000.0,12.234375,4.165173902745461E-6,118000.0,0.984818310561805,0.8761892447631928,0.967,0.933929701202079,0.9790996655946496,0.8587360594795539,0.9687541935678625,0.9978354978354979,0.932031209090433,118000.0,1957848.0,15.0,0.4926022048749145,0.5073977951250855,86363.20000000001,317.776696079852,101633.6,7669.5644577399935,70.33333333333333,5.839112783226415,35.666666666666664,2.9195563916132077,35.666666666666664,2.9195563916132077,13.133333333333333,0.990430401872025,0.0,0.0,0.0,0.0,1.0,0.0
119000.0,12.34375,4.220661163950959E-6,119000.0,0.9872357957727323,0.8691095367364672,0.96,0.9200230333663905,0.984818310561805,0.9920318725099602,0.9594054030177428,0.9979919678714859,0.9176470588235294,119000.0,1961000.0,15.0,0.7118012836415324,0.2881987163584675,87063.2,299.1710451994237,101842.13333333333,7932.107032872943,70.46666666666665,5.974549195984425,35.73333333333333,2.9872745979922124,35.73333333333333,2.9872745979922124,13.133333333333333,0.990430401872025,0.0,0.0,0.0,0.0,1.0,0.0
120000.0,12.5,4.300237827313442E-6,120000.0,0.9913674475166411,0.8850081921226686,0.968,0.9360225200729343,0.9872357957727323,0.9841269841269841,0.9678636022895832,0.9939516129032258,0.9341292713050637,120000.0,1968648.0,15.0,0.41804798525915104,0.5819520147408489,87793.46666666666,301.60425031740846,102346.13333333333,8889.598141862742,71.13333333333333,6.022181221672648,36.06666666666666,3.011090610836324,36.06666666666666,3.011090610836324,13.200000000000001,0.8618916073713345,0.0,0.0,0.0,0.0,1.0,0.0
121000.0,12.640625,4.372355372955401E-6,121000.0,0.9866455364396368,0.8802238880975505,0.968,0.9359069368723386,0.9913674475166411,1.0449897750511248,0.9672335817929638,0.9902152641878669,0.9341294954237691,121000.0,1982352.0,15.0,0.47458401386343935,0.5254159861365607,88524.73333333332,307.15362993289887,103253.33333333333,8539.05296410612,71.40000000000002,6.103862945475006,36.20000000000001,3.051931472737503,36.20000000000001,3.051931472737503,13.200000000000001,0.8618916073713345,0.0,0.0,0.0,0.0,1.0,0.0
122000.0,12.765625,4.436823591176006E-6,122000.0,0.9869031618023554,0.8751475626257599,0.964,0.9280276373872433,0.9866455364396368,0.9841269841269841,0.9638233516308896,0.9919354838709677,0.9258959303502733,122000.0,1993600.0,15.0,0.48285402513960074,0.5171459748603993,89228.2,310.3864411618916,103996.79999999999,8818.621751725153,71.93333333333334,6.227435457790984,36.46666666666667,3.113717728895492,36.46666666666667,3.113717728895492,13.200000000000001,0.8618916073713345,0.0,0.0,0.0,0.0,1.0,0.0
123000.0,12.890625,4.501716854671637E-6,123000.0,0.9751077396305612,0.8582718121981355,0.957,0.9140804207262002,0.9869031618023554,0.9305019305019305,0.9576076692115515,0.9875518672199171,0.911481171548117,123000.0,2006744.0,15.0,0.4277288199619854,0.5722711800380145,89938.33333333333,307.38149090728035,104866.66666666666,9104.698274334341,72.46666666666668,6.390469093743842,36.73333333333334,3.195234546871921,36.73333333333334,3.195234546871921,13.200000000000001,0.8618916073713345,0.0,0.0,0.0,0.0,1.0,0.0
124000.0,12.984375,4.550394757340351E-6,124000.0,0.993218683447823,0.8898611919036145,0.968,0.9360358199408331,0.9751077396305612,0.9455252918287937,0.9683714115263207,0.9917695473251029,0.9341257719636098,124000.0,2007072.0,15.0,0.5055138850337805,0.4944861149662196,90644.79999999999,298.5462873898917,104887.46666666666,8913.691281767991,72.73333333333333,6.496885700820342,36.86666666666667,3.248442850410171,36.86666666666667,3.248442850410171,13.200000000000001,0.8618916073713345,0.0,0.0,0.0,0.0,1.0,0.0
125000.0,13.125,4.6239479949387405E-6,125000.0,0.9796514423076923,0.8661470086073079,0.959,0.9176640694031648,0.993218683447823,1.0833333333333333,0.9571341438015725,0.9903846153846154,0.915601739015875,125000.0,2021816.0,15.0,0.525643434494852,0.474356565505148,91350.13333333333,298.33918057585043,105863.46666666667,9368.785848052383,73.13333333333334,6.653319973266473,37.06666666666667,3.3266599866332367,37.06666666666667,3.3266599866332367,13.200000000000001,0.8618916073713345,0.0,0.0,0.0,0.0,1.0,0.0
